249, 879, 0, 529, 461
181, 888, 0, 369, 535
217, 1066, 0, 1258, 653
272, 1060, 0, 1303, 526
407, 1037, 0, 1327, 402
466, 1027, 0, 1338, 363
476, 1079, 0, 1506, 376
477, 975, 0, 1192, 341
376, 855, 0, 746, 354
436, 845, 0, 815, 320
477, 789, 0, 731, 289
477, 890, 0, 969, 315
586, 768, 0, 830, 248
586, 956, 0, 1226, 286
585, 1058, 0, 1482, 311
758, 787, 0, 1015, 211
780, 965, 0, 1345, 231
999, 729, 0, 1074, 169
968, 925, 0, 1336, 191
1126, 694, 0, 1089, 154
1153, 876, 0, 1324, 164
1306, 637, 0, 1104, 135
1335, 822, 0, 1308, 144
1493, 578, 0, 1111, 122
1512, 760, 0, 1290, 128
1668, 517, 0, 1114, 110
1698, 702, 0, 1276, 116
1849, 455, 0, 1116, 100
1875, 640, 0, 1262, 105
